id_venda;id_pedido;data_venda;id_cliente;id_produto;quantidade;preco_tabela_brl;desconto_pct;preco_unitario_brl;valor_bruto_brl;valor_desconto_brl;valor_liquido_brl;custo_total_brl;canal_venda;forma_pagamento
34;100008;01/05/2023;38;1;24;55,03;19,75;44,16;1320,72;260,89;1059,83;717,49;Televendas;Boleto 30
35;100009;2023-05-01;158;2;4;149,40;3,37;144,37;597,60;20,12;577,48;324,66;Marketplace;Boleto 30/60/90
36;100009;2023-05-01;158;11;2;2101,99;1,06;2079,73;4203,98;44,53;4159,45;2699,24;Marketplace;Boleto 30/60/90
37;100010;01/05/2023;104;40;12;365,46;11,08;324,96;4385,52;486,03;3899,49;2294,37;Televendas;PIX
38;100010;01/05/2023;104;32;4;463,15;6,66;432,28;1852,60;123,47;1729,13;934,61;Televendas;PIX
39;100010;01/05/2023;104;30;2;213,10;9,54;192,76;426,20;40,67;385,53;200,67;Televendas;PIX
40;100010;2023-05-01;104;23;4;2042,10;9,39;1850,28;8168,40;767,27;7401,13;6072,77;Televendas;PIX
41;100010;01/05/2023;104;8;12;323,11;14,14;277,43;3877,32;548,17;3329,15;2282,03;Televendas;PIX
42;100010;2023-05-01;104;28;6;116,53;9,52;105,44;699,18;66,54;632,64;329,21;Televendas;PIX
43;100010;01/05/2023;104;25;6;1618,05;6,66;1510,32;9708,30;646,41;9061,89;7217,60;Televendas;PIX
44;100010;2023-05-01;104;37;2;1133,17;11,72;1000,35;2266,34;265,64;2000,70;1185,67;Televendas;PIX
45;100011;01/05/2023;156;40;4;365,46;5,29;346,14;1461,84;77,26;1384,58;764,79;Site;Boleto 30/60/90
46;100011;2023-05-01;156;30;4;213,10;8,24;195,53;852,40;70,26;782,14;401,35;Site;Boleto 30/60/90
47;100011;2023-05-01;156;9;6;510,31;7,13;473,91;3061,86;218,39;2843,47;1802,09;Site;Boleto 30/60/90
48;100011;01/05/2023;156;31;2;604,39;5,73;569,75;1208,78;69,28;1139,50;609,80;Site;Boleto 30/60/90
49;100011;01/05/2023;156;33;2;537,85;9,17;488,53;1075,70;98,64;977,06;542,67;Site;Boleto 30/60/90
50;100011;01/05/2023;156;4;4;69,76;7,10;64,81;279,04;19,80;259,24;151,61;Site;Boleto 30/60/90
51;100011;01/05/2023;156;8;2;323,11;7,09;300,21;646,22;45,79;600,43;380,34;Site;Boleto 30/60/90
52;100012;2023-05-01;31;8;4;323,11;7,25;299,68;1292,44;93,74;1198,70;760,68;Televendas;PIX
53;100012;01/05/2023;31;26;4;225,73;1,18;223,07;902,92;10,65;892,27;425,14;Televendas;PIX
54;100012;01/05/2023;31;30;4;213,10;8,00;196,05;852,40;68,20;784,20;401,35;Televendas;PIX
55;100012;2023-05-01;31;6;1;358,43;3,59;345,55;358,43;12,88;345,55;210,96;Televendas;PIX
56;100013;01/05/2023;152;32;2;463,15;5,11;439,47;926,30;47,37;878,93;467,31;Televendas;Boleto 30/60/90
57;100013;01/05/2023;152;28;4;116,53;6,69;108,73;466,12;31,20;434,92;219,48;Televendas;Boleto 30/60/90
58;100013;01/05/2023;152;26;1;225,73;4,48;215,62;225,73;10,11;215,62;106,29;Televendas;Boleto 30/60/90
59;100014;01/05/2023;123;14;6;2797,54;5,82;2634,64;16785,24;977,39;15807,85;10777,27;Televendas;Boleto 30
60;100014;01/05/2023;123;33;6;537,85;5,39;508,85;3227,10;173,99;3053,11;1628,00;Televendas;Boleto 30
61;100014;01/05/2023;123;7;6;439,55;6,61;410,49;2637,30;174,37;2462,93;1552,20;Televendas;Boleto 30
62;100014;2023-05-01;123;38;6;1288,45;6,85;1200,20;7730,70;529,51;7201,19;4044,45;Televendas;Boleto 30
63;100015;2023-05-01;101;38;12;1288,45;20,38;1025,91;15461,40;3150,53;12310,87;8088,90;Televendas;Cartao
64;100015;01/05/2023;101;8;12;323,11;19,22;261,02;3877,32;745,11;3132,21;2282,03;Televendas;Cartao
65;100015;2023-05-01;101;23;60;2042,10;17,98;1674,89;122526,00;22032,33;100493,67;91091,57;Televendas;Cartao
66;100015;2023-05-01;101;36;60;1097,51;16,93;911,70;65850,60;11148,87;54701,73;34450,76;Televendas;Cartao
67;100015;2023-05-01;101;4;6;69,76;17,50;57,55;418,56;73,24;345,32;227,41;Televendas;Cartao
68;100015;01/05/2023;101;35;12;808,52;16,93;671,65;9702,24;1642,40;8059,84;4894,59;Televendas;Cartao
69;100015;2023-05-01;101;20;60;2207,01;14,90;1878,07;132420,60;19736,65;112683,95;74820,34;Televendas;Cartao
70;100015;01/05/2023;101;1;60;55,03;15,88;46,29;3301,80;524,24;2777,56;1793,71;Televendas;Cartao
71;100015;2023-05-01;101;22;48;1642,25;18,22;1343,07;78828,00;14360,40;64467,60;58604,64;Televendas;Cartao
72;100015;2023-05-01;101;32;6;463,15;19,56;372,55;2778,90;543,62;2235,28;1401,92;Televendas;Cartao
73;100015;2023-05-01;101;12;6;3017,53;19,21;2437,92;18105,18;3477,63;14627,55;11624,76;Televendas;Cartao
74;100016;2023-05-01;70;21;4;1330,44;6,44;1244,77;5321,76;342,69;4979,07;3956,45;Site;Boleto 30
75;100016;01/05/2023;70;24;6;2050,30;3,68;1974,77;12301,80;453,19;11848,61;9145,74;Site;Boleto 30
76;100016;01/05/2023;70;25;4;1618,05;7,09;1503,38;6472,20;458,67;6013,53;4811,74;Site;Boleto 30
77;100017;01/05/2023;40;33;6;537,85;0,80;533,56;3227,10;25,76;3201,34;1628,00;Vendedor Externo;Boleto 30/60/90
78;100017;2023-05-01;40;10;4;359,05;2,96;348,41;1436,20;42,55;1393,65;845,29;Vendedor Externo;Boleto 30/60/90
79;100017;2023-05-01;40;23;6;2042,10;5,16;1936,73;12252,60;632,21;11620,39;9109,16;Vendedor Externo;Boleto 30/60/90
80;100017;2023-05-01;40;32;4;463,15;6,44;433,33;1852,60;119,29;1733,31;934,61;Vendedor Externo;Boleto 30/60/90
81;100018;01/05/2023;80;6;2;358,43;10,21;321,85;716,86;73,16;643,70;421,91;Televendas;Boleto 30/60/90
82;100018;01/05/2023;80;8;6;323,11;8,28;296,37;1938,66;160,43;1778,23;1141,01;Televendas;Boleto 30/60/90
83;100018;01/05/2023;80;24;6;2050,30;2,55;1998,11;12301,80;313,12;11988,68;9145,74;Televendas;Boleto 30/60/90
84;100018;01/05/2023;80;7;2;439,55;1,99;430,80;879,10;17,50;861,60;517,40;Televendas;Boleto 30/60/90
85;100019;2023-05-01;155;13;4;2116,74;6,28;1983,72;8466,96;532,09;7934,87;5436,38;Site;Boleto 30/60/90
86;100019;01/05/2023;155;19;1;536,90;5,32;508,35;536,90;28,55;508,35;303,36;Site;Boleto 30/60/90
87;100020;01/05/2023;22;37;2;1133,17;3,13;1097,65;2266,34;71,04;2195,30;1185,67;Marketplace;Boleto 30/60/90
88;100020;01/05/2023;22;40;4;365,46;5,41;345,70;1461,84;79,05;1382,79;764,79;Marketplace;Boleto 30/60/90
89;100020;01/05/2023;22;24;1;2050,30;5,35;1940,65;2050,30;109,65;1940,65;1524,29;Marketplace;Boleto 30/60/90
90;100021;01/05/2023;103;18;1;1984,97;6,13;1863,24;1984,97;121,73;1863,24;1121,55;Vendedor Externo;PIX
91;100021;2023-05-01;103;21;1;1330,44;2,70;1294,57;1330,44;35,87;1294,57;989,11;Vendedor Externo;PIX
92;100021;01/05/2023;103;14;1;2797,54;7,59;2585,19;2797,54;212,35;2585,19;1796,21;Vendedor Externo;PIX
93;100022;01/05/2023;146;21;1;1330,44;2,51;1297,09;1330,44;33,35;1297,09;989,11;Site;Cartao
94;100023;01/05/2023;69;9;1;510,31;2,40;498,08;510,31;12,23;498,08;300,35;Televendas;PIX
95;100023;01/05/2023;69;26;2;225,73;3,85;217,04;451,46;17,38;434,08;212,57;Televendas;PIX
96;100024;01/05/2023;23;32;1;463,15;5,58;437,31;463,15;25,84;437,31;233,65;Site;Boleto 30
97;100024;01/05/2023;23;30;4;213,10;8,39;195,23;852,40;71,48;780,92;401,35;Site;Boleto 30
98;100024;2023-05-01;23;34;6;428,50;3,67;412,77;2571,00;94,40;2476,60;1297,03;Site;Boleto 30
99;100025;01/05/2023;174;3;2;143,04;0,00;143,04;286,08;0,00;286,08;155,43;Televendas;Boleto 30
100;100025;01/05/2023;174;9;4;510,31;3,60;491,95;2041,24;73,46;1967,78;1201,39;Televendas;Boleto 30
101;100025;01/05/2023;174;8;2;323,11;1,16;319,35;646,22;7,53;638,69;380,34;Televendas;Boleto 30
102;100026;2023-05-01;91;19;4;536,90;5,52;507,24;2147,60;118,65;2028,95;1213,44;Televendas;Boleto 30/60/90
103;100026;01/05/2023;91;14;2;2797,54;4,82;2662,57;5595,08;269,94;5325,14;3592,42;Televendas;Boleto 30/60/90
104;100027;01/05/2023;23;18;1;1984,97;6,75;1851,01;1984,97;133,96;1851,01;1121,55;Site;Boleto 30/60/90
105;100027;2023-05-01;23;30;4;213,10;5,44;201,51;852,40;46,37;806,03;401,35;Site;Boleto 30/60/90
106;100027;01/05/2023;23;37;2;1133,17;6,68;1057,51;2266,34;151,32;2115,02;1185,67;Site;Boleto 30/60/90
107;100028;2023-05-01;166;35;4;808,52;5,60;763,27;3234,08;181,01;3053,07;1631,53;Site;Cartao
108;100028;01/05/2023;166;9;2;510,31;4,03;489,74;1020,62;41,14;979,48;600,70;Site;Cartao
109;100028;01/05/2023;166;7;1;439,55;4,58;419,41;439,55;20,14;419,41;258,70;Site;Cartao
110;100028;01/05/2023;166;37;6;1133,17;10,87;1009,95;6799,02;739,32;6059,70;3557,02;Site;Cartao
111;100028;01/05/2023;166;40;1;365,46;3,60;352,29;365,46;13,17;352,29;191,20;Site;Cartao
112;100029;02/05/2023;1;7;4;439,55;4,78;418,54;1758,20;84,03;1674,17;1033,58;Televendas;Boleto 30/60/90
113;100029;2023-05-02;1;3;2;143,04;6,93;133,13;286,08;19,82;266,26;155,24;Televendas;Boleto 30/60/90
114;100029;02/05/2023;1;8;4;323,11;7,23;299,74;1292,44;93,47;1198,97;759,77;Televendas;Boleto 30/60/90
115;100029;2023-05-02;1;6;1;358,43;0,00;358,43;358,43;0,00;358,43;210,71;Televendas;Boleto 30/60/90
116;100030;02/05/2023;165;37;1;1133,17;0,00;1133,17;1133,17;0,00;1133,17;592,13;Televendas;Boleto 30/60/90
117;100030;02/05/2023;165;17;1;1251,77;0,80;1241,81;1251,77;9,96;1241,81;706,44;Televendas;Boleto 30/60/90
118;100031;02/05/2023;6;36;2;1097,51;0,43;1092,77;2195,02;9,47;2185,55;1147,00;Televendas;Boleto 30/60/90
119;100032;2023-05-02;29;4;4;69,76;0,49;69,42;279,04;1,36;277,68;151,43;Vendedor Externo;PIX
120;100032;2023-05-02;29;29;4;96,25;1,91;94,41;385,00;7,37;377,63;181,07;Vendedor Externo;PIX
121;100033;2023-05-02;141;35;2;808,52;2,60;787,53;1617,04;41,98;1575,06;814,80;Televendas;Boleto 14
122;100033;2023-05-02;141;6;12;358,43;6,93;333,58;4301,16;298,24;4002,92;2528,47;Televendas;Boleto 14
123;100033;2023-05-02;141;9;4;510,31;9,74;460,61;2041,24;198,80;1842,44;1199,97;Televendas;Boleto 14
124;100034;02/05/2023;71;37;4;1133,17;5,20;1074,24;4532,68;235,70;4296,98;2368,54;Site;Boleto 30/60/90
125;100034;2023-05-02;71;14;2;2797,54;1,04;2768,38;5595,08;58,33;5536,75;3588,17;Site;Boleto 30/60/90
126;100035;2023-05-02;52;17;12;1251,77;18,46;1020,71;15021,24;2772,78;12248,46;8477,25;Televendas;Boleto 30
127;100035;2023-05-02;52;19;48;536,90;20,30;427,89;25771,20;5232,52;20538,68;14544,01;Televendas;Boleto 30
128;100035;02/05/2023;52;1;60;55,03;14,62;46,98;3301,80;482,88;2818,92;1791,59;Televendas;Boleto 30
129;100035;2023-05-02;52;25;12;1618,05;13,15;1405,31;19416,60;2552,86;16863,74;14418,11;Televendas;Boleto 30
130;100035;02/05/2023;52;31;6;604,39;17,88;496,33;3626,34;648,35;2977,99;1827,24;Televendas;Boleto 30
131;100036;2023-05-02;151;6;2;358,43;6,81;334,00;716,86;48,85;668,01;421,41;Televendas;Boleto 30/60/90
132;100036;02/05/2023;151;29;1;96,25;2,88;93,48;96,25;2,77;93,48;45,27;Televendas;Boleto 30/60/90
133;100036;02/05/2023;151;38;4;1288,45;0,82;1277,91;5153,80;42,16;5111,64;2693,11;Televendas;Boleto 30/60/90
134;100036;02/05/2023;151;34;2;428,50;0,00;428,50;857,00;0,00;857,00;431,83;Televendas;Boleto 30/60/90
135;100037;2023-05-02;114;20;2;2207,01;1,28;2178,77;4414,02;56,48;4357,54;2491,06;Televendas;Boleto 30/60/90
136;100038;02/05/2023;149;12;4;3017,53;0,00;3017,53;12070,12;0,00;12070,12;7740,66;Televendas;Boleto 30/60/90
137;100038;2023-05-02;149;25;1;1618,05;3,89;1555,08;1618,05;62,97;1555,08;1201,51;Televendas;Boleto 30/60/90
138;100038;2023-05-02;149;17;1;1251,77;7,10;1162,92;1251,77;88,85;1162,92;706,44;Televendas;Boleto 30/60/90
139;100039;2023-05-02;119;11;2;2101,99;0,33;2095,15;4203,98;13,68;4190,30;2696,04;Televendas;Boleto 30
140;100039;2023-05-02;119;17;4;1251,77;8,23;1148,80;5007,08;411,89;4595,19;2825,75;Televendas;Boleto 30
141;100039;2023-05-02;119;10;1;359,05;3,87;345,15;359,05;13,90;345,15;211,07;Televendas;Boleto 30
142;100040;02/05/2023;92;18;1;1984,97;0,00;1984,97;1984,97;0,00;1984,97;1120,22;Site;PIX
143;100041;2023-05-02;121;40;2;365,46;5,64;344,85;730,92;41,23;689,69;381,94;Televendas;PIX
144;100041;02/05/2023;121;20;2;2207,01;0,36;2199,00;4414,02;16,02;4398,00;2491,06;Televendas;PIX
145;100042;2023-05-02;49;10;48;359,05;15,49;303,45;17234,40;2668,82;14565,58;10131,50;Marketplace;PIX
146;100042;02/05/2023;49;4;48;69,76;21,17;55,00;3348,48;708,71;2639,77;1817,12;Marketplace;PIX
147;100042;02/05/2023;49;15;60;1930,27;13,80;1663,90;115816,20;15982,44;99833,76;74273,92;Marketplace;PIX
148;100042;2023-05-02;49;26;12;225,73;9,91;203,35;2708,76;268,56;2440,20;1273,92;Marketplace;PIX
149;100042;2023-05-02;49;18;48;1984,97;16,34;1660,55;95278,56;15572,27;79706,29;53770,57;Marketplace;PIX
150;100042;02/05/2023;49;34;60;428,50;16,63;357,25;25710,00;4274,99;21435,01;12954,91;Marketplace;PIX
151;100042;02/05/2023;49;32;6;463,15;15,50;391,34;2778,90;430,87;2348,03;1400,26;Marketplace;PIX
152;100042;02/05/2023;49;7;48;439,55;15,78;370,21;21098,40;3328,41;17769,99;12402,90;Marketplace;PIX
153;100042;2023-05-02;49;30;12;213,10;20,42;169,58;2557,20;522,28;2034,92;1202,61;Marketplace;PIX
154;100043;02/05/2023;49;32;48;463,15;18,71;376,50;22231,20;4159,14;18072,06;11202,05;Televendas;Boleto 30/60/90
155;100043;02/05/2023;49;24;6;2050,30;17,91;1683,03;12301,80;2203,60;10098,20;9134,90;Televendas;Boleto 30/60/90
156;100043;2023-05-02;49;33;6;537,85;17,76;442,33;3227,10;573,09;2654,01;1626,08;Televendas;Boleto 30/60/90
157;100043;02/05/2023;49;36;24;1097,51;15,95;922,43;26340,24;4201,83;22138,41;13763,98;Televendas;Boleto 30/60/90
158;100043;02/05/2023;49;35;24;808,52;16,34;676,44;19404,48;3169,80;16234,68;9777,59;Televendas;Boleto 30/60/90
159;100043;02/05/2023;49;2;60;149,40;18,19;122,23;8964,00;1630,33;7333,67;4864,14;Televendas;Boleto 30/60/90
160;100043;02/05/2023;49;19;60;536,90;16,96;445,83;32214,00;5464,38;26749,62;18180,01;Televendas;Boleto 30/60/90
161;100043;02/05/2023;49;11;6;2101,99;14,13;1804,88;12611,94;1782,68;10829,26;8088,12;Televendas;Boleto 30/60/90
162;100043;02/05/2023;49;28;12;116,53;11,02;103,69;1398,36;154,12;1244,24;657,65;Televendas;Boleto 30/60/90
163;100044;02/05/2023;19;10;6;359,05;11,88;316,39;2154,30;255,96;1898,34;1266,44;Televendas;Antecipado
164;100044;02/05/2023;19;15;2;1930,27;12,48;1689,41;3860,54;481,73;3378,81;2475,80;Televendas;Antecipado
165;100044;02/05/2023;19;6;2;358,43;11,08;318,73;716,86;79,40;637,46;421,41;Televendas;Antecipado
166;100044;02/05/2023;19;22;6;1642,25;12,50;1436,95;9853,50;1231,77;8621,73;7316,90;Televendas;Antecipado
167;100045;02/05/2023;40;6;6;358,43;11,65;316,69;2150,58;250,45;1900,13;1264,24;Site;Boleto 30
168;100045;02/05/2023;40;5;1;95,32;3,52;91,96;95,32;3,36;91,96;51,72;Site;Boleto 30
169;100045;02/05/2023;40;23;2;2042,10;5,04;1939,16;4084,20;205,88;3878,32;3032,79;Site;Boleto 30
170;100045;02/05/2023;40;15;1;1930,27;4,96;1834,57;1930,27;95,70;1834,57;1237,90;Site;Boleto 30
171;100046;02/05/2023;174;20;1;2207,01;0,86;2187,95;2207,01;19,06;2187,95;1245,53;Vendedor Externo;Cartao
172;100047;02/05/2023;10;40;4;365,46;3,43;352,92;1461,84;50,15;1411,69;763,88;Vendedor Externo;Cartao
173;100047;02/05/2023;10;9;1;510,31;4,64;486,63;510,31;23,68;486,63;299,99;Vendedor Externo;Cartao
174;100048;02/05/2023;161;30;2;213,10;3,65;205,33;426,20;15,54;410,66;200,43;Televendas;Boleto 14
175;100048;02/05/2023;161;16;6;1747,20;2,53;1703,00;10483,20;265,21;10217,99;5916,21;Televendas;Boleto 14
176;100048;2023-05-02;161;27;6;62,40;7,32;57,83;374,40;27,41;346,99;176,08;Televendas;Boleto 14
177;100048;02/05/2023;161;24;1;2050,30;4,92;1949,45;2050,30;100,85;1949,45;1522,48;Televendas;Boleto 14
178;100049;02/05/2023;30;27;1;62,40;5,96;58,68;62,40;3,72;58,68;29,35;Vendedor Externo;Boleto 30/60/90
179;100050;02/05/2023;141;5;6;95,32;2,26;93,16;571,92;12,93;558,99;310,34;Televendas;Boleto 30/60/90
180;100050;02/05/2023;141;36;4;1097,51;5,32;1039,08;4390,04;233,72;4156,32;2294,00;Televendas;Boleto 30/60/90
181;100050;02/05/2023;141;8;4;323,11;8,42;295,89;1292,44;108,87;1183,57;759,77;Televendas;Boleto 30/60/90
182;100050;02/05/2023;141;9;12;510,31;4,93;485,14;6123,72;302,09;5821,63;3599,91;Televendas;Boleto 30/60/90
183;100050;02/05/2023;141;13;6;2116,74;11,60;1871,14;12700,44;1473,59;11226,85;8144,91;Televendas;Boleto 30/60/90
184;100051;02/05/2023;33;15;1;1930,27;4,91;1835,48;1930,27;94,79;1835,48;1237,90;Televendas;PIX
185;100051;02/05/2023;33;9;1;510,31;8,48;467,04;510,31;43,27;467,04;299,99;Televendas;PIX
186;100052;02/05/2023;147;6;1;358,43;5,14;339,99;358,43;18,44;339,99;210,71;Vendedor Externo;Boleto 30
187;100052;02/05/2023;147;22;2;1642,25;2,89;1594,79;3284,50;94,92;3189,58;2438,97;Vendedor Externo;Boleto 30
188;100052;02/05/2023;147;33;4;537,85;0,00;537,85;2151,40;0,00;2151,40;1084,05;Vendedor Externo;Boleto 30
189;100052;02/05/2023;147;38;1;1288,45;0,88;1277,13;1288,45;11,32;1277,13;673,28;Vendedor Externo;Boleto 30
190;100053;2023-05-02;92;14;2;2797,54;3,82;2690,56;5595,08;213,95;5381,13;3588,17;Televendas;Boleto 14
191;100054;02/05/2023;75;7;1;439,55;1,36;433,56;439,55;5,99;433,56;258,39;Vendedor Externo;Boleto 30/60/90
192;100054;02/05/2023;75;39;1;1299,96;2,69;1265,03;1299,96;34,93;1265,03;679,29;Vendedor Externo;Boleto 30/60/90
193;100055;02/05/2023;94;18;1;1984,97;1,94;1946,49;1984,97;38,48;1946,49;1120,22;Televendas;Boleto 30
194;100055;02/05/2023;94;20;1;2207,01;3,02;2140,43;2207,01;66,58;2140,43;1245,53;Televendas;Boleto 30
195;100055;02/05/2023;94;4;2;69,76;0,88;69,15;139,52;1,23;138,29;75,71;Televendas;Boleto 30
196;100055;02/05/2023;94;26;2;225,73;3,40;218,06;451,46;15,34;436,12;212,32;Televendas;Boleto 30
197;100056;02/05/2023;7;35;2;808,52;2,86;785,42;1617,04;46,20;1570,84;814,80;Vendedor Externo;Cartao
198;100056;2023-05-02;7;4;1;69,76;10,16;62,68;69,76;7,08;62,68;37,86;Vendedor Externo;Cartao
199;100056;02/05/2023;7;2;2;149,40;8,60;136,55;298,80;25,70;273,10;162,14;Vendedor Externo;Cartao
200;100057;03/05/2023;33;40;1;365,46;;365,46;365,46;0,00;365,46;190,18;Vendedor Externo;Antecipado
201;100058;03/05/2023;36;19;6;536,90;6,42;502,41;3221,40;206,95;3014,45;1810,49;Televendas;Boleto 30/60/90
202;100058;2023-05-03;36;2;6;149,40;5,67;140,92;896,40;50,86;845,54;484,41;Televendas;Boleto 30/60/90
203;100059;03/05/2023;102;35;1;808,52;5,25;766,09;808,52;42,43;766,09;405,72;Site;
204;100059;03/05/2023;102;18;1;1984,97;0,74;1970,25;1984,97;14,72;1970,25;1115,59;Site;Boleto 30/60/90
205;100059;03/05/2023;102;17;2;1251,77;3,31;1210,29;2503,54;82,96;2420,58;1407,04;Site;Boleto 30/60/90
206;100059;03/05/2023;102;21;4;1330,44;7,56;1229,92;5321,76;402,09;4919,67;3935,44;Site;Boleto 30/60/90
207;100060;03/05/2023;179;1;4;55,03;10,25;49,39;220,12;22,56;197,56;118,95;Marketplace;Cartao
208;100060;03/05/2023;179;16;2;1747,20;10,12;1570,31;3494,40;353,79;3140,61;1963,92;Marketplace;Cartao
209;100060;03/05/2023;179;38;6;1288,45;5,66;1215,50;7730,70;437,68;7293,02;4022,97;Marketplace;Cartao
210;100060;03/05/2023;179;23;12;2042,10;6,75;1904,19;24505,20;1654,93;22850,27;18121,57;Marketplace;Cartao
211;100060;03/05/2023;179;19;2;536,90;12,80;468,15;1073,80;137,50;936,30;603,50;Marketplace;Cartao
212;100060;2023-05-03;179;8;12;323,11;;304,72;3877,32;220,72;3656,60;2269,91;Marketplace;Cartao
213;100060;03/05/2023;179;39;6;1299,96;7,06;1208,21;7799,76;550,51;7249,25;4058,92;Marketplace;Cartao
214;100060;03/05/2023;179;21;4;1330,44;9,64;1202,17;5321,76;513,08;4808,68;3935,44;Marketplace;Cartao
215;100061;03/05/2023;169;21;4;1330,44;2,22;1300,87;5321,76;118,28;5203,48;3935,44;Televendas;Boleto 30/60/90
216;100061;03/05/2023;169;23;4;2042,10;7,09;1897,35;8168,40;578,99;7589,41;6040,52;Televendas;Boleto 30/60/90
217;100061;03/05/2023;169;7;2;439,55;6,08;412,82;879,10;53,45;825,65;514,65;Televendas;Boleto 30/60/90
218;100061;03/05/2023;169;29;4;96,25;5,34;91,11;385,00;20,57;364,43;180,32;Televendas;Boleto 30/60/90
219;100061;2023-05-03;169;15;4;1930,27;7,55;1784,47;7721,08;583,19;7137,89;4931,14;Televendas;Boleto 30/60/90
220;100062;03/05/2023;135;33;2;537,85;3,17;520,78;1075,70;34,15;1041,55;539,79;Televendas;Boleto 30
221;100062;03/05/2023;135;40;2;365,46;9,20;331,85;730,92;67,22;663,70;380,36;Televendas;Boleto 30
222;100062;03/05/2023;135;5;12;95,32;10,33;85,47;1143,84;118,21;1025,63;618,11;Televendas;Boleto 30
